Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1/22/1999,0.401941215,0.448594887,0.356483724,0.37681967,271468800,0,0
1/25/1999,0.406725983,0.421081029,0.376819738,0.416296333,51048000,0,0
1/26/1999,0.421081138,0.429455309,0.378015989,0.383997798,34320000,0,0
1/27/1999,0.385193807,0.394764155,0.363660777,0.382801473,24436800,0,0
1/28/1999,0.382801478,0.385193812,0.379212005,0.381605297,22752000,0,0
1/29/1999,0.38160533,0.382801511,0.363660812,0.363660812,24403200,0,0
2/1/1999,0.363660833,0.373231182,0.363660833,0.370838821,15470400,0,0
2/2/1999,0.36366089,0.373231241,0.331362279,0.342128783,26409600,0,0
2/3/1999,0.337344026,0.354091433,0.334950734,0.349305779,7512000,0,0
2/4/1999,0.354091425,0.37801586,0.349305771,0.368446469,18192000,0,0
2/5/1999,0.374427385,0.382801555,0.364857035,0.379212081,13684800,0,0
2/8/1999,0.381605344,0.382801524,0.366054118,0.366054118,15408000,0,0
2/9/1999,0.373231155,0.375623517,0.346913428,0.351699054,8697600,0,0
2/10/1999,0.351699109,0.361268528,0.342128758,0.348109663,14822400,0,0
2/11/1999,0.349305785,0.392370921,0.349305785,0.378015876,13224000,0,0
2/12/1999,0.38280151,0.40194125,0.38280151,0.399548888,10972800,0,0
2/16/1999,0.406725995,0.423474335,0.361268522,0.401941299,21100800,0,0
2/17/1999,0.392370996,0.397156651,0.373231251,0.380409241,6772800,0,0
2/18/1999,0.392370907,0.39715656,0.375623528,0.38639003,7070400,0,0
2/19/1999,0.38280151,0.406725945,0.378015856,0.399548888,7536000,0,0
2/22/1999,0.406725995,0.41151165,0.380409195,0.401941299,20524800,0,0
2/23/1999,0.411511703,0.429455267,0.387586303,0.421081096,13809600,0,0
2/24/1999,0.483286761,0.502426527,0.443810172,0.454576701,61276800,0,0
2/25/1999,0.473716515,0.48807156,0.433043738,0.440221727,14913600,0,0
2/26/1999,0.445006409,0.459361455,0.416296318,0.419884861,17260800,0,0
3/1/1999,0.43065126,0.440221607,0.401941176,0.422277093,9216000,0,0
3/2/1999,0.421080959,0.423474251,0.411511569,0.418688625,5524800,0,0
3/3/1999,0.421081045,0.421081045,0.387586256,0.389978617,6139200,0,0
3/4/1999,0.409119204,0.411511565,0.378015825,0.381605297,5736000,0,0
3/5/1999,0.385193915,0.404333686,0.385193915,0.403137505,7876800,0,0
3/8/1999,0.392370825,0.421080909,0.38519377,0.409119159,7588800,0,0
